course_name,description,prerequisites,corequisites,,,,,,,,,,
DIGITAL CONSTRUCTS 4,"Building on techniques taught in Digital Constructs 3, this course will expand upon the role of technology in architecture by introducing advanced methods of design analysis and resolution. Students will learn to address issues of optimization, environmental surroundings, structure, and site by using various contemporary analytic software programs. This course is offered in the spring semester and is required of all second-year architecture undergraduates in the B.Arch. program. Coordination of the relationship of course content to Architectural Design Studio 4 will be between the Digital Constructs 4 faculty instructor and the second-year architectural design studio coordinator and faculty.",['ARCH-2540'],['ARCH-2830'],,,,,,,,,,
ARCHITECTURAL DESIGN STUDIO 2,"This course continues the processes of critical inquiry in relation to design and design creativity through a series of hands-on projects that incorporate fundamental issues of technology, materiality, abstraction, tectonics, and theory that consider the array of architectural issues in the design of built environments that consider architecture in a wider sense that includes its involvement with site, context, situation, and simple program. This course is required of all first-year architecture undergraduates in the B.Arch. program.",['ARCH-2800'],['ARCH-2530'],,,,,,,,,,
ARCHITECTURAL DESIGN STUDIO 2,"This course continues the processes of critical inquiry in relation to design and design creativity through a series of hands-on projects that incorporate fundamental issues of technology, materiality, abstraction, tectonics, and theory that consider the array of architectural issues in the design of built environments that consider architecture in a wider sense that includes its involvement with site, context, situation, and simple program. This course is required of all first-year architecture undergraduates in the B.Arch. program.",['ARCH-2800'],['ARCH-2530'],,,,,,,,,,
ARCHITECTURAL DESIGN STUDIO 2,"This course continues the processes of critical inquiry in relation to design and design creativity through a series of hands-on projects that incorporate fundamental issues of technology, materiality, abstraction, tectonics, and theory that consider the array of architectural issues in the design of built environments that consider architecture in a wider sense that includes its involvement with site, context, situation, and simple program. This course is required of all first-year architecture undergraduates in the B.Arch. program.",['ARCH-2800'],['ARCH-2530'],,,,,,,,,,
ARCHITECTURAL DESIGN STUDIO 2,"This course continues the processes of critical inquiry in relation to design and design creativity through a series of hands-on projects that incorporate fundamental issues of technology, materiality, abstraction, tectonics, and theory that consider the array of architectural issues in the design of built environments that consider architecture in a wider sense that includes its involvement with site, context, situation, and simple program. This course is required of all first-year architecture undergraduates in the B.Arch. program.",['ARCH-2800'],['ARCH-2530'],,,,,,,,,,
ARCHITECTURAL DESIGN STUDIO 2,"This course continues the processes of critical inquiry in relation to design and design creativity through a series of hands-on projects that incorporate fundamental issues of technology, materiality, abstraction, tectonics, and theory that consider the array of architectural issues in the design of built environments that consider architecture in a wider sense that includes its involvement with site, context, situation, and simple program. This course is required of all first-year architecture undergraduates in the B.Arch. program.",['ARCH-2800'],['ARCH-2530'],,,,,,,,,,
ARCHITECTURAL DESIGN STUDIO 4,"This design studio builds on prior studios emphasizing projects of greater scale and complexity. Typically, the studio designs large-scale housing developments but other projects of similar complexity may be used. The studio requires the analysis and critique of precedent and the writing of an architectural program. This course is offered in the spring semester and is required of all second-year architecture undergraduates in the B.Arch. program.",['ARCH-2820'],['ARCH-2550'],,,,,,,,,,
ARCHITECTURAL DESIGN STUDIO 4,"This design studio builds on prior studios emphasizing projects of greater scale and complexity. Typically, the studio designs large-scale housing developments but other projects of similar complexity may be used. The studio requires the analysis and critique of precedent and the writing of an architectural program. This course is offered in the spring semester and is required of all second-year architecture undergraduates in the B.Arch. program.",['ARCH-2820'],['ARCH-2550'],,,,,,,,,,
ARCHITECTURAL DESIGN STUDIO 4,"This design studio builds on prior studios emphasizing projects of greater scale and complexity. Typically, the studio designs large-scale housing developments but other projects of similar complexity may be used. The studio requires the analysis and critique of precedent and the writing of an architectural program. This course is offered in the spring semester and is required of all second-year architecture undergraduates in the B.Arch. program.",['ARCH-2820'],['ARCH-2550'],,,,,,,,,,
ARCHITECTURAL DESIGN STUDIO 4,"This design studio builds on prior studios emphasizing projects of greater scale and complexity. Typically, the studio designs large-scale housing developments but other projects of similar complexity may be used. The studio requires the analysis and critique of precedent and the writing of an architectural program. This course is offered in the spring semester and is required of all second-year architecture undergraduates in the B.Arch. program.",['ARCH-2820'],['ARCH-2550'],,,,,,,,,,
ARCHITECTURAL DESIGN STUDIO 4,"This design studio builds on prior studios emphasizing projects of greater scale and complexity. Typically, the studio designs large-scale housing developments but other projects of similar complexity may be used. The studio requires the analysis and critique of precedent and the writing of an architectural program. This course is offered in the spring semester and is required of all second-year architecture undergraduates in the B.Arch. program.",['ARCH-2820'],['ARCH-2550'],,,,,,,,,,
PROJECTS IN ARCH & ENV DESIGN,Individual projects and readings adapted to the needs of individual students.,[],[],,,,,,,,,,
BEDFORD SEMINAR,"This interdisciplinary seminar consists of students from both the School of Architecture and Civil Engineering department. Presentation of a variety of structural typologies bears direct relation to practical experience and the necessity for constructive interdisciplinary discourse. Specific structural typologies are examined through historic and contemporary project examples that are critically deconstructed and critically analyzed with respect to their basic engineering principles and architectural concepts. Students will be exposed to the collaborative methods inherent within the architect/engineer relationship. The course consists of lectures concerning each topic, case studies, and presentations of relevant projects, an interdisciplinary design project and discussion of the projects and presentations with respect to interdisciplinary discourse. Content and delivery may vary by instructor. Taught with CIVL 4020.",['ARCH-2330'],[],,,,,,,,,,
ARCHITECTURAL CASE STUDIES,"Works of architecture embody knowledge, ideas, and imagination that express formally, spatially, and materially the ways of living and values of the civilizations in which they occur. In continuing the inquiry begun in The Ethos of Architecture and employing the skills and values acquired in that course and Architectural Media, the intent of this course is to teach students the means for investigating buildings coherently, rationally, and interpretively to understand the technical and cultural knowledge embedded within works of architecture. A select number of modern and contemporary buildings that represent a high degree of sophistication in the way their architects have approached the breadth of design issues both within and external to the programs of those works will be analyzed critically in order to ascertain the significance and relationships of the multiple systems of order inherent to a work of architecture.","['ARCH-2150', 'ARCH-2160']",[],,,,,,,,,,
ARCHITECTURAL CASE STUDIES,"Works of architecture embody knowledge, ideas, and imagination that express formally, spatially, and materially the ways of living and values of the civilizations in which they occur. In continuing the inquiry begun in The Ethos of Architecture and employing the skills and values acquired in that course and Architectural Media, the intent of this course is to teach students the means for investigating buildings coherently, rationally, and interpretively to understand the technical and cultural knowledge embedded within works of architecture. A select number of modern and contemporary buildings that represent a high degree of sophistication in the way their architects have approached the breadth of design issues both within and external to the programs of those works will be analyzed critically in order to ascertain the significance and relationships of the multiple systems of order inherent to a work of architecture.","['ARCH-2150', 'ARCH-2160']",[],,,,,,,,,,
ARCHITECTURAL CASE STUDIES,"Works of architecture embody knowledge, ideas, and imagination that express formally, spatially, and materially the ways of living and values of the civilizations in which they occur. In continuing the inquiry begun in The Ethos of Architecture and employing the skills and values acquired in that course and Architectural Media, the intent of this course is to teach students the means for investigating buildings coherently, rationally, and interpretively to understand the technical and cultural knowledge embedded within works of architecture. A select number of modern and contemporary buildings that represent a high degree of sophistication in the way their architects have approached the breadth of design issues both within and external to the programs of those works will be analyzed critically in order to ascertain the significance and relationships of the multiple systems of order inherent to a work of architecture.","['ARCH-2150', 'ARCH-2160']",[],,,,,,,,,,
ARCHITECTURAL CASE STUDIES,"Works of architecture embody knowledge, ideas, and imagination that express formally, spatially, and materially the ways of living and values of the civilizations in which they occur. In continuing the inquiry begun in The Ethos of Architecture and employing the skills and values acquired in that course and Architectural Media, the intent of this course is to teach students the means for investigating buildings coherently, rationally, and interpretively to understand the technical and cultural knowledge embedded within works of architecture. A select number of modern and contemporary buildings that represent a high degree of sophistication in the way their architects have approached the breadth of design issues both within and external to the programs of those works will be analyzed critically in order to ascertain the significance and relationships of the multiple systems of order inherent to a work of architecture.","['ARCH-2150', 'ARCH-2160']",[],,,,,,,,,,
AN ARCHITECTURAL GENEALOGY,"This course addresses the history of architectural and related developments in selected Western and non-Western civilizations in order to construct a conceptual and strategic understanding of the relationships between architecture, culture, civilization, technology, and thought. In doing so, it will focus on key constructed spatial phenomena of the pre-modern world and, where relevant, elucidate the connection of these works of architecture and their motivating ideals to those of the modern and contemporary world.","['ARCH-2150', 'ARCH-2160']",[],,,,,,,,,,
CONTEMPORARY DESIGN APPROACHES,"Reflecting on the knowledge and understandings acquired in all the previous courses in the history, theory, and criticism sequence, this course is a critical inquiry into the principal ideologies and premises of the most substantive architectural practices in the contemporary world. As such, the content of the course must necessarily evolve as the intellectual and cultural parameters of both theory and practice in the contemporary world change. The principal aim of the critique of various contemporary positions is to reinforce in students the importance of developing and critically maintaining their own values, vision, and voice in the design and making of architecture that was initiated in ARCH 2150, The Ethos of Architecture. Fundamental to this process is to encourage the students' awareness of the necessity to challenge their own subjectivities, biases, and presuppositions.",['ARCH-4120'],[],,,,,,,,,,
CONTEMPORARY DESIGN APPROACHES,"Reflecting on the knowledge and understandings acquired in all the previous courses in the history, theory, and criticism sequence, this course is a critical inquiry into the principal ideologies and premises of the most substantive architectural practices in the contemporary world. As such, the content of the course must necessarily evolve as the intellectual and cultural parameters of both theory and practice in the contemporary world change. The principal aim of the critique of various contemporary positions is to reinforce in students the importance of developing and critically maintaining their own values, vision, and voice in the design and making of architecture that was initiated in ARCH 2150, The Ethos of Architecture. Fundamental to this process is to encourage the students' awareness of the necessity to challenge their own subjectivities, biases, and presuppositions.",['ARCH-4120'],[],,,,,,,,,,
CONTEMPORARY DESIGN APPROACHES,"Reflecting on the knowledge and understandings acquired in all the previous courses in the history, theory, and criticism sequence, this course is a critical inquiry into the principal ideologies and premises of the most substantive architectural practices in the contemporary world. As such, the content of the course must necessarily evolve as the intellectual and cultural parameters of both theory and practice in the contemporary world change. The principal aim of the critique of various contemporary positions is to reinforce in students the importance of developing and critically maintaining their own values, vision, and voice in the design and making of architecture that was initiated in ARCH 2150, The Ethos of Architecture. Fundamental to this process is to encourage the students' awareness of the necessity to challenge their own subjectivities, biases, and presuppositions.",['ARCH-4120'],[],,,,,,,,,,
ENVIRONMENTAL PARAMETRICS,,,,,,,,,,,,,
PORTFOLIO DEVELOPMENT,,,,,,,,,,,,,
CONSTRUCTION INDUSTRY SEMR 2,"This course continues the examination of the diverse and interconnected aspects of the construction industry as an essential context for realizing architecture. It surveys the history and current developments of the people, organizations, and professional and industry groups involved in design, construction, finance, insurance, and regulation of building. Current issues influencing design quality are identified by the class and are explored in a series of student-organized in-depth seminars with industry participants. This is required of all architecture undergraduates in the B.S. in Building Sciences program.",['ARCH-4510'],[],,,,,,,,,,
BUILDING SCIENCES CAPSTONE,"This course offers the students the opportunity to demonstrate a comprehensive knowledge of issues and practices in an important subject within the building sciences through a self-initiated and faculty-directed independent design, research, or research/design project. This is required of all architecture undergraduates in the B.S. in Building Sciences program.  This is a communication-intensive course.",['ARCH-4520'],['ARCH-4520'],,,,,,,,,,
PROFESSIONAL PRACTICE 1,"An introduction to architectural practice as related to accomplishing design projects. An overview of professional obligations, registration and conduct, architects' roles in project delivery, and office organization and management for delivering professional services. In-depth examination of architects' responsibilities for health, safety, and welfare in design; building code requirements for fire protection, life safety, and accessibility; economics of building systems and assemblies; design and construction contracts; and design documentation.",[],['ARCH-4830'],,,,,,,,,,
PROFESSIONAL PRACTICE 1,"An introduction to architectural practice as related to accomplishing design projects. An overview of professional obligations, registration and conduct, architects' roles in project delivery, and office organization and management for delivering professional services. In-depth examination of architects' responsibilities for health, safety, and welfare in design; building code requirements for fire protection, life safety, and accessibility; economics of building systems and assemblies; design and construction contracts; and design documentation.",[],['ARCH-4830'],,,,,,,,,,
PROFESSIONAL PRACTICE 2,"This course covers topics that are essential to developing an effective professional architectural practice. The course will address professional obligations and ethics, contracts, registration, office organization, and management. The course will emphasize effective communication, negotiating, public speaking, and team development.",[],[],,,,,,,,,,
MATERIALS SYSTEMS & PRODUCTION,,,,,,,,,,,,,
ENTREPRENEURSHIP &ARCHITECTURE,"This course addresses the range of economic issues related to the practice of architecture. Topics will include economic cycles and building construction, globalization of architectural practice, case studies of models of practice, setting and negotiation of fees for services, economic relationships of architects and consultants, cost estimation.",['ARCH-4540'],[],,,,,,,,,,
BLDG SYSTEMS AND ENVIRONMENT,"Design analysis and performance characteristics of building environmental systems, emphasizing heating, cooling, ventilation, and lighting systems. In addition, building electrical systems, acoustics, water, waste, and drainage systems are covered in terms of fundamental theory, designs, and calculations. Case studies, field trips, and system design project work are required.",['ARCH-2360'],[],,,,,,,,,,
ARCHITECTURAL DESIGN STUDIO 5,"This is an upper division architectural design studio that explores topics of contemporary interest to the discipline. Students apply for this studio based on their personal interest and professional objectives. Three such studios Architectural Design Studio 5, Architectural Design Studio 6, and Architectural Design Studio 7, are required for the degree. This course is offered in the fall and spring semesters and is required of all architecture undergraduates in the B.Arch. program.",['ARCH-2830'],[],,,,,,,,,,
ARCHITECTURAL DESIGN STUDIO 5,"This is an upper division architectural design studio that explores topics of contemporary interest to the discipline. Students apply for this studio based on their personal interest and professional objectives. Three such studios Architectural Design Studio 5, Architectural Design Studio 6, and Architectural Design Studio 7, are required for the degree. This course is offered in the fall and spring semesters and is required of all architecture undergraduates in the B.Arch. program.",['ARCH-2830'],[],,,,,,,,,,
ARCHITECTURAL DESIGN STUDIO 5,"This is an upper division architectural design studio that explores topics of contemporary interest to the discipline. Students apply for this studio based on their personal interest and professional objectives. Three such studios Architectural Design Studio 5, Architectural Design Studio 6, and Architectural Design Studio 7, are required for the degree. This course is offered in the fall and spring semesters and is required of all architecture undergraduates in the B.Arch. program.",['ARCH-2830'],[],,,,,,,,,,
ARCHITECTURAL DESIGN STUDIO 6,"This is an upper division architectural design studio that explores topics of contemporary interest to the discipline. Students apply for this studio based on their personal interest and professional objectives. Three such studios Architectural Design Studio 5, Architectural Design Studio 6, and Architectural Design Studio 7, are required for the degree. This course is offered in the fall and spring semesters and is required of all architecture undergraduates in the B.Arch. program.",['ARCH-4770'],[],,,,,,,,,,
ARCHITECTURAL DESIGN STUDIO 6,"This is an upper division architectural design studio that explores topics of contemporary interest to the discipline. Students apply for this studio based on their personal interest and professional objectives. Three such studios Architectural Design Studio 5, Architectural Design Studio 6, and Architectural Design Studio 7, are required for the degree. This course is offered in the fall and spring semesters and is required of all architecture undergraduates in the B.Arch. program.",['ARCH-4770'],[],,,,,,,,,,
ARCHITECTURAL DESIGN STUDIO 6,"This is an upper division architectural design studio that explores topics of contemporary interest to the discipline. Students apply for this studio based on their personal interest and professional objectives. Three such studios Architectural Design Studio 5, Architectural Design Studio 6, and Architectural Design Studio 7, are required for the degree. This course is offered in the fall and spring semesters and is required of all architecture undergraduates in the B.Arch. program.",['ARCH-4770'],[],,,,,,,,,,
INTEGRATED DESIGN SCHEMATIC,"This studio is a design-based studio that focuses on the integration of structural, technical, detail, zoning, and code-related issues with respect to the design of a moderate to large-scale building of civic importance. Such building types are (but not limited to) libraries, theaters, city halls, judicial buildings, educational buildings, etc. An important focus of the design project will be the relationship of the building to its urban context. An essential part of the design will involve programming of the building as well as responding to numerous of the learning outcomes defined by the NAAB (the accrediting agency for professional architecture programs) for a comprehensive design project. This course is required of all architecture undergraduates in the B.Arch. program.",['ARCH-2830'],[],,,,,,,,,,
INTEGRATED DESIGN SCHEMATIC,"This studio is a design-based studio that focuses on the integration of structural, technical, detail, zoning, and code-related issues with respect to the design of a moderate to large-scale building of civic importance. Such building types are (but not limited to) libraries, theaters, city halls, judicial buildings, educational buildings, etc. An important focus of the design project will be the relationship of the building to its urban context. An essential part of the design will involve programming of the building as well as responding to numerous of the learning outcomes defined by the NAAB (the accrediting agency for professional architecture programs) for a comprehensive design project. This course is required of all architecture undergraduates in the B.Arch. program.",['ARCH-2830'],[],,,,,,,,,,
INTEGRATED DESIGN DEV STUDIO,"This studio is a technology-based design studio emphasizing the materialization and making of architectural design projects. The integration of building code requirements for fire protection, life safety, accessibility, building environmental systems, structure, construction, and materiality is central to the effective achievement of design intent. Students become aware of how these issues affect and inform design decisions. They learn to integrate technology, systems, and materials in the comprehensive resolution of building design and gain exposure to construction documents and design documentation. Construction and site visits are an integral part of the studio as is an integrated electronic media seminar on CAD applications. Students must coregister for ARCH 4540 Professional Practice 1, a concurrent 2-credit course that introduces codes, the regulatory process, agreements, contract documents, building design cost control, and administration. This course is required of all architecture undergraduates in the B.Arch. program.",['ARCH-4820'],['ARCH-4540'],,,,,,,,,,
INTEGRATED DESIGN DEV STUDIO,"This studio is a technology-based design studio emphasizing the materialization and making of architectural design projects. The integration of building code requirements for fire protection, life safety, accessibility, building environmental systems, structure, construction, and materiality is central to the effective achievement of design intent. Students become aware of how these issues affect and inform design decisions. They learn to integrate technology, systems, and materials in the comprehensive resolution of building design and gain exposure to construction documents and design documentation. Construction and site visits are an integral part of the studio as is an integrated electronic media seminar on CAD applications. Students must coregister for ARCH 4540 Professional Practice 1, a concurrent 2-credit course that introduces codes, the regulatory process, agreements, contract documents, building design cost control, and administration. This course is required of all architecture undergraduates in the B.Arch. program.",['ARCH-4820'],['ARCH-4540'],,,,,,,,,,
INTEGRATED DESIGN DEV STUDIO,"This studio is a technology-based design studio emphasizing the materialization and making of architectural design projects. The integration of building code requirements for fire protection, life safety, accessibility, building environmental systems, structure, construction, and materiality is central to the effective achievement of design intent. Students become aware of how these issues affect and inform design decisions. They learn to integrate technology, systems, and materials in the comprehensive resolution of building design and gain exposure to construction documents and design documentation. Construction and site visits are an integral part of the studio as is an integrated electronic media seminar on CAD applications. Students must coregister for ARCH 4540 Professional Practice 1, a concurrent 2-credit course that introduces codes, the regulatory process, agreements, contract documents, building design cost control, and administration. This course is required of all architecture undergraduates in the B.Arch. program.",['ARCH-4820'],['ARCH-4540'],,,,,,,,,,
INTEGRATED DESIGN DEV STUDIO,"This studio is a technology-based design studio emphasizing the materialization and making of architectural design projects. The integration of building code requirements for fire protection, life safety, accessibility, building environmental systems, structure, construction, and materiality is central to the effective achievement of design intent. Students become aware of how these issues affect and inform design decisions. They learn to integrate technology, systems, and materials in the comprehensive resolution of building design and gain exposure to construction documents and design documentation. Construction and site visits are an integral part of the studio as is an integrated electronic media seminar on CAD applications. Students must coregister for ARCH 4540 Professional Practice 1, a concurrent 2-credit course that introduces codes, the regulatory process, agreements, contract documents, building design cost control, and administration. This course is required of all architecture undergraduates in the B.Arch. program.",['ARCH-4820'],['ARCH-4540'],,,,,,,,,,
ARCHITECTURAL ACOUSTICS 2,"In the spring semester, students will have the opportunity to design their own performance hall. This process will include continued studies of acoustics measurements, simulated sound fields, community noise issues, and professional practice in acoustics consulting. The course will also have detailed lectures on concert hall acoustics, sound quality, and synthesized sound fields. Students will be introduced to a variety of simulation software and measurement equipment in the Acoustics Research Laboratory. After both Architectural Acoustics 1 and 2, the student should be prepared for a basic entry-level position in either acoustics in architecture or in acoustical consulting.",['ARCH-4840'],[],,,,,,,,,,
AURAL ARCHITECTURE,"In this course, design processes in architectural acoustics will be studied from a psychoacoustical perspective. Different concepts to create physical and virtual acoustic spaces will be discussed based on perceptual design goals. Topics include ecological psychoacoustics, sound quality, auditory virtual environments, and auditory computational modeling.",['ARCH-4860'],[],,,,,,,,,,
FINAL PROJECT DESIGN STUDIO,"This design studio is the second required course of the two-semester, 5th-year Final Project course sequence in the undergraduate program. The Final Project Design Studio provides a forum for the design and development of a comprehensive architectural proposal pertinent to the Final Project course sequence. This course is required of all fifth-year architecture undergraduates in the B.Arch. program. This is a communication-intensive course.","['ARCH-4910', 'ARCH-4790']",[],,,,,,,,,,
FINAL PROJECT DESIGN STUDIO,"This design studio is the second required course of the two-semester, 5th-year Final Project course sequence in the undergraduate program. The Final Project Design Studio provides a forum for the design and development of a comprehensive architectural proposal pertinent to the Final Project course sequence. This course is required of all fifth-year architecture undergraduates in the B.Arch. program. This is a communication-intensive course.","['ARCH-4910', 'ARCH-4790']",[],,,,,,,,,,
FINAL PROJECT DESIGN STUDIO,"This design studio is the second required course of the two-semester, 5th-year Final Project course sequence in the undergraduate program. The Final Project Design Studio provides a forum for the design and development of a comprehensive architectural proposal pertinent to the Final Project course sequence. This course is required of all fifth-year architecture undergraduates in the B.Arch. program. This is a communication-intensive course.","['ARCH-4910', 'ARCH-4790']",[],,,,,,,,,,
FINAL PROJECT DESIGN STUDIO,"This design studio is the second required course of the two-semester, 5th-year Final Project course sequence in the undergraduate program. The Final Project Design Studio provides a forum for the design and development of a comprehensive architectural proposal pertinent to the Final Project course sequence. This course is required of all fifth-year architecture undergraduates in the B.Arch. program. This is a communication-intensive course.","['ARCH-4910', 'ARCH-4790']",[],,,,,,,,,,
RES INVESTIGATIONS: PROJBUILT,,,,,,,,,,,,,
INDEPENDENT STUDY IN ARCH,Individual projects and readings adapted to the needs of individual students at the advanced level.,[],[],,,,,,,,,,
SYSTEMS PROTOTYPING,,,,,,,,,,,,,
URBAN DATA II,,,,,,,,,,,,,
STRUCTURAL ANATOMY OF BLDGS,,,,,,,,,,,,,
TOOLS AS PROSTHETICS,,,,,,,,,,,,,
GEO-ACTORS II,,,,,,,,,,,,,
DESIGN PROGRAMMING 1,,,,,,,,,,,,,
ARCHITECTURE & FILM:TIMESCAPES,,,,,,,,,,,,,
"HISTORY, THEORY, CRITICISM 2","This course addresses the history of architectural and related developments in selected Western and non-Western civilizations in order to construct a conceptual and strategic understanding of the relationships between architecture, culture, civilization, technology, and thought. In doing so, it will focus on key constructed spatial phenomena of the pre-modern world and, where relevant, elucidate the connection of these works of architecture and their motivating ideals to those of the modern and contemporary world.",['ARCH-5100'],[],,,,,,,,,,
DIGITAL CONSTRUCTS 2,"Building on techniques taught in Digital Constructs 1, this course will expand upon the role of technology in architecture by introducing advanced methods of design analysis and resolution. Students will learn to address issues of optimization, environmental surroundings, structure, and site by using various contemporary analytic softwares. This course is required of all second-year architecture graduate students in the M.Arch. program. Coordination of the relationship of course content to Graduate Architecture Design 2 will be between the Digital Constructs 2 faculty instructor and the studio coordinator and faculty.",['ARCH-5160'],[],,,,,,,,,,
GRADUATE ARCHITECTURE DESIGN 2,"This design studio builds on prior studios emphasizing projects of greater scale and complexity. Typically, the studio designs large-scale housing developments but other projects of similar complexity may be used. The studio requires the analysis and critique of precedent and the writing of an architectural program.",['ARCH-5200'],[],,,,,,,,,,
ENVIRONMENTAL & ECOLOGICAL SYS,"An exploration of the fundamental principles of human physiology, thermal and luminous comfort, and indoor quality. Emphasis is on bioclimatic and psychrometric climate analysis and its relationship to architectural design, understanding the energy exchange between body in space, the natural meaning of enclosures, and nonstructural materials and systems. The focus is on passive heating, cooling, and daylighting systems and their design. Exercises include vital sign analysis of existing spaces (thermal, air, luminous), forming hypotheses of building performance, using scientific instrumentation, tenant survey techniques, and physical modeling and simulation techniques related to daylighting and shading techniques. This course is required of all architecture graduate students in the M.Arch. program.",[],[],,,,,,,,,,
ENTREPRENEURSHIP &ARCHITECTURE,"This course addresses the range of economic issues related to the practice of architecture. Topics will include economic cycles and building construction, globalization of architectural practice, case studies of models of practice, setting and negotiation of fees for services, economic relationships of architects and consultants, cost estimation.",['ARCH-5380'],[],,,,,,,,,,
BUILDING SYSTEMS & ENVIRONMENT,"Design analysis and performance characteristics of building environmental systems, emphasizing heating, cooling, ventilation, and lighting systems. In addition, building electrical systems, acoustics, water, waste, and drainage systems are covered in terms of fundamental theory, designs, and calculations. Case studies, field trips, and system design project work are required. This course is required of all architecture graduate students in the M.Arch. program.",['ARCH-5310'],[],,,,,,,,,,
PROFESSIONAL PRACTICE 1,"This course covers topics that are essential to developing an effective professional architectural practice. The course will address professional obligations and ethics, contracts, registration, office organization, and management. The course will emphasize effective communication, negotiating, public speaking, and team development. This course is required of all architecture graduate students in the M.Arch. program.",['ARCH-5330'],[],,,,,,,,,,
PROFESSIONAL PRACTICE 1,"This course covers topics that are essential to developing an effective professional architectural practice. The course will address professional obligations and ethics, contracts, registration, office organization, and management. The course will emphasize effective communication, negotiating, public speaking, and team development. This course is required of all architecture graduate students in the M.Arch. program.",['ARCH-5330'],[],,,,,,,,,,
PROFESSIONAL PRACTICE II,"This course covers topics that are essential to developing an effective professional architectural practice. The course will address professional obligations and ethics, contracts, registration, office organization, and management. The course will emphasize effective communication, negotiating, public speaking, and team development. This course is required of all architecture graduate students in the M.Arch. program.",['ARCH-5380'],[],,,,,,,,,,
