course_name,course_type,course_credit_hours,course_days_of_the_week,course_start_time,course_end_time,course_instructor,course_location,course_max_enroll,course_enrolled,course_remained,course_department,course_start_date,course_end_date,semester,course_crn,course_level,course_section,short_name,full_name,description,raw_precoreqs,offer_frequency,prerequisites,corequisites
CONSTRUCTION SYSTEMS,,2,W,12:00PM,1:50PM,Rosenberg,,75,64,11,ARCH,2020-08-28,2020-12-21,FALL 2020,26528,2350,01,ARCH-2350,Construction Systems,"Construction Systems centers on the development of a technical knowledge of, sensibility to, and intuition for the process by which an architectural design is realized in built form. The interdependence among building materials, acoustic qualities, enclosure systems, interior, finish, and other systems is investigated, with an emphasis on the broader architectural design endeavor. Drawing as a means of understanding forms the basis for a semester-long project to be done in small groups. Case studies will center on concepts and systems that have not yet found their way into mainstream practice. The course approach will involve in-class presentations, project work, field trips, and case studies. WebCT will be used to expand the student's access to course materials and allow for a measure of distance learning. Sustainability: The notion that design intentions can be nullified through incorrect construction is stressed. The importance of proper detailing, construction, and maintenance to accomplish lasting and efficient enclosures is highlighted. Skills to diagnose and treat incorrect construction are developed.",Prerequisite: ARCH 2510 except M.Arch. students.,Fall term annually.,['ARCH-2510'],[]
MATERIALS AND DESIGN,,2,W,10:00AM,11:50AM,Rosenberg,,90,3,87,ARCH,2020-08-28,2020-12-21,FALL 2020,28046,2510,01,ARCH-2510,Materials and Design,"This course establishes an understanding of the most common materials, their properties and resulting uses, and the implications of their uses in the larger context of material life cycles. The structural makeup of metals, ceramics, polymers, and composite materials is discovered and their resulting properties, costs, and life cycle consequences are clarified. An understanding of basic mechanical properties is established hands on by conducting tension, compression, and 3-point bending tests (mse-lab). Physical performance of material constructs as synergy between form and material properties is further illustrated. Experiments are conducted that introduce such major concepts as structural loading, properties of sections, and resulting system performance. Sustainability: The concept of life cycles is introduced; material and energy flows are tracked throughout the entire material life cycle. This will be accomplished alongside introducing major material groupings (metals, polymers, ceramics, and composites). Students come to realize that environmental concerns are directly related to structural composition and material availability. Consequences of resource extraction, distribution, manipulation, use, and disposal, reuse or recycle are addressed at both local and global scales. Selected field trips to materials extraction, processing, manufacturing, disposal, and recycling facilities are aimed to give physical meaning to the concept of life cycle.",,Fall and summer terms annually.,[],[]
DIGITAL CONSTRUCTS I,LEC,2,W,,,Dayem,,85,0,85,ARCH,2020-08-28,2020-12-21,FALL 2020,28101,2520,01,ARCH-2520,Digital Constructs 1,"This course will examine and teach methods of representation and the communication of design concepts. Skills taught will enable students to produce two-dimensional and three-dimensional digital models, as well as drawings from multiple perspectives. Students will understand virtual environments as they pertain to model making, drawing, scale, and materiality. Students will be introduced to digital modeling and graphic design softwares. This course is offered in the fall semester and is required of all first-year architecture undergraduates in the B.Arch. program. Coordination of the relationship of course content to Architectural Design Studio 1 will be between the Digital Constructs 1 faculty instructor and the first-year architectural design studio coordinator and faculty.",Corequisites: ARCH 2800 Architectural Design Studio 1.,Fall term annually.,[],['ARCH-2800']
DIGITAL CONSTRUCTS 3,LEC,2,W,,,Hower,,80,63,17,ARCH,2020-08-28,2020-12-21,FALL 2020,28292,2540,01,ARCH-2540,Digital Constructs 3,"This course introduces computational and procedural design approaches that are a logical extension to topics covered in Digital Constructs 2. Students will develop an understanding of computational logic through introductory design applications, both as advanced tooling and as generative design techniques. Methodological approaches will be contextualized by a presentation of historical and theoretical precedents. Techniques introduced will include scripting, Java, geospatial mapping. This course is offered in the fall semester and is required of all second-year architecture undergraduates in the B.Arch. program. Coordination of the relationship of course content to Architectural Design Studio 3 will be between the Digital Constructs 3 faculty instructor and the second-year architectural design studio coordinator and faculty.","Prerequisite: ARCH 2530 Digital Constructs 2, Corequisite: ARCH 2820 Architectural Design 3.",Fall term annually.,['ARCH-2530'],['ARCH-2820']
ARCHITECTURAL DESIGN STUDIO 1,STU,5,MWR,2:00PM,5:50PM,Erel,,80,0,80,ARCH,2020-08-28,2020-12-21,FALL 2020,28074,2800,01,ARCH-2800,Architectural Design Studio 1,"This course introduces students to design as a way of thinking, creating, and making through a series of short projects. The projects stress critical and creative thinking and invention, interdisciplinary collaboration, observation and perception, communication and visualization. Using sketching, photography, model making, and computing students pursue open-ended investigations of form, space, materials, and the ideas that both generate and are generated by them. This course is required of all first-year architecture undergraduates in the B.Arch.  program.",Corequisite: ARCH 2520 Digital Constructs 1.,Fall and summer terms annually.,[],['ARCH-2520']
ARCHITECTURAL DESIGN STUDIO 1,STU,5,MWR,2:00PM,5:50PM,Imaeda,,16,0,16,ARCH,2020-08-28,2020-12-21,FALL 2020,28119,2800,02,ARCH-2800,Architectural Design Studio 1,"This course introduces students to design as a way of thinking, creating, and making through a series of short projects. The projects stress critical and creative thinking and invention, interdisciplinary collaboration, observation and perception, communication and visualization. Using sketching, photography, model making, and computing students pursue open-ended investigations of form, space, materials, and the ideas that both generate and are generated by them. This course is required of all first-year architecture undergraduates in the B.Arch.  program.",Corequisite: ARCH 2520 Digital Constructs 1.,Fall and summer terms annually.,[],['ARCH-2520']
ARCHITECTURAL DESIGN STUDIO 1,STU,5,MWR,2:00PM,5:50PM,Russo,,16,0,16,ARCH,2020-08-28,2020-12-21,FALL 2020,28120,2800,03,ARCH-2800,Architectural Design Studio 1,"This course introduces students to design as a way of thinking, creating, and making through a series of short projects. The projects stress critical and creative thinking and invention, interdisciplinary collaboration, observation and perception, communication and visualization. Using sketching, photography, model making, and computing students pursue open-ended investigations of form, space, materials, and the ideas that both generate and are generated by them. This course is required of all first-year architecture undergraduates in the B.Arch.  program.",Corequisite: ARCH 2520 Digital Constructs 1.,Fall and summer terms annually.,[],['ARCH-2520']
ARCHITECTURAL DESIGN STUDIO 1,STU,5,MWR,2:00PM,5:50PM,Bennett,,16,0,16,ARCH,2020-08-28,2020-12-21,FALL 2020,28121,2800,05,ARCH-2800,Architectural Design Studio 1,"This course introduces students to design as a way of thinking, creating, and making through a series of short projects. The projects stress critical and creative thinking and invention, interdisciplinary collaboration, observation and perception, communication and visualization. Using sketching, photography, model making, and computing students pursue open-ended investigations of form, space, materials, and the ideas that both generate and are generated by them. This course is required of all first-year architecture undergraduates in the B.Arch.  program.",Corequisite: ARCH 2520 Digital Constructs 1.,Fall and summer terms annually.,[],['ARCH-2520']
ARCHITECTURAL DESIGN STUDIO 1,LEC,5,MWR,2:00PM,5:50PM,Lokko,,8,0,8,ARCH,2020-08-28,2020-12-21,FALL 2020,28638,2800,06,ARCH-2800,Architectural Design Studio 1,"This course introduces students to design as a way of thinking, creating, and making through a series of short projects. The projects stress critical and creative thinking and invention, interdisciplinary collaboration, observation and perception, communication and visualization. Using sketching, photography, model making, and computing students pursue open-ended investigations of form, space, materials, and the ideas that both generate and are generated by them. This course is required of all first-year architecture undergraduates in the B.Arch.  program.",Corequisite: ARCH 2520 Digital Constructs 1.,Fall and summer terms annually.,[],['ARCH-2520']
ARCHITECTURAL DESIGN STUDIO 1,STU,5,MWR,2:00PM,5:50PM,Crandall,,16,0,16,ARCH,2020-08-28,2020-12-21,FALL 2020,29810,2800,07,ARCH-2800,Architectural Design Studio 1,"This course introduces students to design as a way of thinking, creating, and making through a series of short projects. The projects stress critical and creative thinking and invention, interdisciplinary collaboration, observation and perception, communication and visualization. Using sketching, photography, model making, and computing students pursue open-ended investigations of form, space, materials, and the ideas that both generate and are generated by them. This course is required of all first-year architecture undergraduates in the B.Arch.  program.",Corequisite: ARCH 2520 Digital Constructs 1.,Fall and summer terms annually.,[],['ARCH-2520']
ARCHITECTURAL DESIGN STUDIO 3,LEC,5,MWR,2:00PM,5:50PM,Dayem,,75,52,23,ARCH,2020-08-28,2020-12-21,FALL 2020,28293,2820,01,ARCH-2820,Architectural Design Studio 3,"This studio focuses on the relationship between building and landscape in terms of conceptual, pragmatic, ideological, aesthetic, and functional issues. As such, it endeavors to examine critically the disciplinary boundary between building and landscape. It also critically assesses the connections and inherent complexities between an institutional situation, workplace activity, and residential inhabitation in order to explore questions of publicness and privacy. This studio also addresses the tectonic dimensions of construction and structure in architectural design. This course is required of all second-year architecture undergraduates in the B.Arch. program.",Prerequisiste: ARCH 2810 Architectural Design Studio 2; Corequisite: ARCH 2540 Digital Constructs 3.,Fall term annually.,['ARCH-2810'],"['ARCH-2810', 'ARCH-2540']"
ARCHITECTURAL DESIGN STUDIO 3,LEC,5,MWR,2:00PM,5:50PM,Horowitz,,14,0,14,ARCH,2020-08-28,2020-12-21,FALL 2020,28294,2820,02,ARCH-2820,Architectural Design Studio 3,"This studio focuses on the relationship between building and landscape in terms of conceptual, pragmatic, ideological, aesthetic, and functional issues. As such, it endeavors to examine critically the disciplinary boundary between building and landscape. It also critically assesses the connections and inherent complexities between an institutional situation, workplace activity, and residential inhabitation in order to explore questions of publicness and privacy. This studio also addresses the tectonic dimensions of construction and structure in architectural design. This course is required of all second-year architecture undergraduates in the B.Arch. program.",Prerequisiste: ARCH 2810 Architectural Design Studio 2; Corequisite: ARCH 2540 Digital Constructs 3.,Fall term annually.,['ARCH-2810'],"['ARCH-2810', 'ARCH-2540']"
ARCHITECTURAL DESIGN STUDIO 3,LEC,5,MWR,2:00PM,5:50PM,Passeri,,14,3,11,ARCH,2020-08-28,2020-12-21,FALL 2020,28295,2820,03,ARCH-2820,Architectural Design Studio 3,"This studio focuses on the relationship between building and landscape in terms of conceptual, pragmatic, ideological, aesthetic, and functional issues. As such, it endeavors to examine critically the disciplinary boundary between building and landscape. It also critically assesses the connections and inherent complexities between an institutional situation, workplace activity, and residential inhabitation in order to explore questions of publicness and privacy. This studio also addresses the tectonic dimensions of construction and structure in architectural design. This course is required of all second-year architecture undergraduates in the B.Arch. program.",Prerequisiste: ARCH 2810 Architectural Design Studio 2; Corequisite: ARCH 2540 Digital Constructs 3.,Fall term annually.,['ARCH-2810'],"['ARCH-2810', 'ARCH-2540']"
ARCHITECTURAL DESIGN STUDIO 3,LEC,5,MWR,2:00PM,5:50PM,Carter,,14,0,14,ARCH,2020-08-28,2020-12-21,FALL 2020,28296,2820,04,ARCH-2820,Architectural Design Studio 3,"This studio focuses on the relationship between building and landscape in terms of conceptual, pragmatic, ideological, aesthetic, and functional issues. As such, it endeavors to examine critically the disciplinary boundary between building and landscape. It also critically assesses the connections and inherent complexities between an institutional situation, workplace activity, and residential inhabitation in order to explore questions of publicness and privacy. This studio also addresses the tectonic dimensions of construction and structure in architectural design. This course is required of all second-year architecture undergraduates in the B.Arch. program.",Prerequisiste: ARCH 2810 Architectural Design Studio 2; Corequisite: ARCH 2540 Digital Constructs 3.,Fall term annually.,['ARCH-2810'],"['ARCH-2810', 'ARCH-2540']"
ARCHITECTURAL DESIGN STUDIO 3,LEC,5,MWR,2:00PM,5:50PM,Liu,,14,10,4,ARCH,2020-08-28,2020-12-21,FALL 2020,28346,2820,05,ARCH-2820,Architectural Design Studio 3,"This studio focuses on the relationship between building and landscape in terms of conceptual, pragmatic, ideological, aesthetic, and functional issues. As such, it endeavors to examine critically the disciplinary boundary between building and landscape. It also critically assesses the connections and inherent complexities between an institutional situation, workplace activity, and residential inhabitation in order to explore questions of publicness and privacy. This studio also addresses the tectonic dimensions of construction and structure in architectural design. This course is required of all second-year architecture undergraduates in the B.Arch. program.",Prerequisiste: ARCH 2810 Architectural Design Studio 2; Corequisite: ARCH 2540 Digital Constructs 3.,Fall term annually.,['ARCH-2810'],"['ARCH-2810', 'ARCH-2540']"
BUILDING PERFORMANCE STUDIO 2,LEC,5,MWR,2:00PM,5:50PM,Leer,,20,1,19,ARCH,2020-08-28,2020-12-21,FALL 2020,28588,2860,01,ARCH-2860,Building Performance Studio 2,This studio continues the work of the Building Performance Studio 2 to consider in greater depth and detail the design of architectural form and space from the perspective of how the many factors of environmental and ecological forces give shape to them. The studio will employ architectural design projects as a means to explore these issues qualitatively and quantitatively. This course is required of all architecture undergraduates in the B.S. in Building Sciences program.,Prerequisite: ARCH 2850 Building Performance Studio 1,Fall term annually.,['ARCH-2850'],[]
BEDFORD SEMINAR,LEC,3,W,12:00PM,1:50PM,Marchewka,,12,5,7,ARCH,2020-08-28,2020-12-21,FALL 2020,28041,4020,01,ARCH-4020,Bedford Architecture Engineering Seminar,"This interdisciplinary seminar consists of students from both the School of Architecture and Civil Engineering department. Presentation of a variety of structural typologies bears direct relation to practical experience and the necessity for constructive interdisciplinary discourse. Specific structural typologies are examined through historic and contemporary project examples that are critically deconstructed and critically analyzed with respect to their basic engineering principles and architectural concepts. Students will be exposed to the collaborative methods inherent within the architect/engineer relationship. The course consists of lectures concerning each topic, case studies, and presentations of relevant projects, an interdisciplinary design project and discussion of the projects and presentations with respect to interdisciplinary discourse. Content and delivery may vary by instructor. Taught with CIVL 4020.",ARCH 2330 Structures 1.,Fall and spring terms annually.,['ARCH-2330'],['ARCH-2330']
CITIES AND THEIR TERRITORIES,LEC,2,T,2:00PM,3:50PM,Bennett,,125,78,47,ARCH,2020-08-28,2020-12-21,FALL 2020,28836,4050,01,ARCH-4050,Cities and Their Territories,"An important ancillary concern throughout the previous eight courses of the history, theory, and criticism sequence has been the examination of architecture as a fundamental part of the forces of urbanization and humanity's interventions into the landscape and environment. This course highlights the perspective of that dimension of architectural understanding by examining in detail both historically and contemporarily many of the most significant ways that human habitation has engaged the world at the large scale of cities and geographies. This 2-credit course is required of all architecture undergraduates in the B.Arch. program.",Prerequisite: ARCH 4100 An Architectural Genealogy.,Fall term annually.,['ARCH-4100'],[]
CLOUD ATLAS: 20TH CENTURY ARCH,LEC,3,TF,12:00PM,1:20PM,Choi,,85,64,21,ARCH,2020-08-28,2020-12-21,FALL 2020,29197,4120,01,ARCH-4120,"Cloud Atlas: 20th Century Architecture, Culture and Civilization","Building on the knowledge, critical perspectives, and abilities that students have acquired in the previous courses in the history, theory, and criticism sequence, this course begins a study of the ideas, values, theories, and practices that contributed to the rise of modernity in the western world and eventually on a global scale. This course explores the ideal of modernity as both a cultural phenomenon and as a technological enframing of the world, scientific rationality, historical consciousness, etc.",ARCH 4100 An Architectural Genealogy.,Fall term annually.,['ARCH-4100'],['ARCH-4100']
ENVIRONMENTAL PARAMETRICS,LEC,2,T,11:00AM,12:50PM,Portelli,,6,1,5,ARCH,2020-08-28,2020-12-21,FALL 2020,29198,4170,80,ARCH-4170,,,,,,
STRUCTURES 2,LEC,3,TF,12:00PM,1:20PM,Pilla,,70,72,-2,ARCH,2020-08-28,2020-12-21,FALL 2020,28589,4330,01,ARCH-4330,Structures 2,"This course builds on the material presented in Structures 1, with an emphasis on the analysis and design of structures compressed primarily of steel and site cast and pre-cast concrete, with an overview of load-bearing masonry and advanced systems. The theoretical concepts covered in the introduction course form the conceptual basis for work in Structures 2, with relevant new concepts/techniques covered. Innovative, non-normative structural systems are investigated and discussed. Analysis and design will proceed using primarily computer-aided techniques. The course approach will involve in-class presentations, homework and project work, computer lab, field trips, and case studies. WebCT will be used to expand the student's access to course materials and allow for a measure of distance learning. Sustainability: The following notions are introduced as important attributes of sustainable structures and construction: structural robustness, and programmatic flexibility. (Design optimization approaches are introduced and explored as avenues to accomplish more optimum design conditions under increasingly strict design constraints.)","Prerequisites: ARCH 2510 except M.Arch. students, ARCH 2350, ARCH 2330.",Fall term annually.,"['ARCH-2510', 'ARCH-2350', 'ARCH-2330']",[]
CONSTRUCTION INDUST SEMR,LEC,2,R,12:00PM,1:50PM,Lokko,,20,2,18,ARCH,2020-08-28,2020-12-21,FALL 2020,28856,4510,01,ARCH-4510,Construction Industry Seminar 1,"This course introduces the construction industry as an essential context for realizing architecture. It is a survey of the people, organizations, and professional and industry groups involved in design, construction, finance, insurance, and regulation of building. Current issues influencing design quality are identified by the class and are explored in a series of student-organized in-depth seminars with industry participants. This is required of all architecture undergraduates in the B.S. in Building Sciences program.","Prerequisites: ARCH 2360 Environmental and Ecological Systems, ARCH 4550 Professional Practice 2, ARCH 4740 Building Systems and Environment.",Fall term annually.,"['ARCH-2360', 'ARCH-4550', 'ARCH-4740']",[]
PROFESSIONAL PRACTICE 1,LEC,2,T,6:00PM,7:50PM,Pacheco,,30,14,16,ARCH,2020-08-28,2020-12-21,FALL 2020,25686,4540,01,ARCH-4540,Professional Practice 1,"An introduction to architectural practice as related to accomplishing design projects. An overview of professional obligations, registration and conduct, architects' roles in project delivery, and office organization and management for delivering professional services. In-depth examination of architects' responsibilities for health, safety, and welfare in design; building code requirements for fire protection, life safety, and accessibility; economics of building systems and assemblies; design and construction contracts; and design documentation.",Corequisite: Students in ARCH 4830 Integrated Design Development are required to coregister.,Fall and spring terms annually.,[],['ARCH-4830']
PROFESSIONAL PRACTICE 1,LEC,2,R,6:00PM,6:50PM,Pacheco,,30,14,16,ARCH,2020-08-28,2020-12-21,FALL 2020,25686,4540,01,ARCH-4540,Professional Practice 1,"An introduction to architectural practice as related to accomplishing design projects. An overview of professional obligations, registration and conduct, architects' roles in project delivery, and office organization and management for delivering professional services. In-depth examination of architects' responsibilities for health, safety, and welfare in design; building code requirements for fire protection, life safety, and accessibility; economics of building systems and assemblies; design and construction contracts; and design documentation.",Corequisite: Students in ARCH 4830 Integrated Design Development are required to coregister.,Fall and spring terms annually.,[],['ARCH-4830']
PROFESSIONAL PRACTICE 2,LEC,2,T,6:00PM,7:50PM,Pacheco,,50,39,11,ARCH,2020-08-28,2020-12-21,FALL 2020,28300,4550,01,ARCH-4550,Professional Practice 2,"This course covers topics that are essential to developing an effective professional architectural practice. The course will address professional obligations and ethics, contracts, registration, office organization, and management. The course will emphasize effective communication, negotiating, public speaking, and team development.",,Fall and spring terms annually.,[],[]
MATERIALS AND ENCLOSURES,LEC,2,M,12:00PM,1:50PM,Brainard,,70,69,1,ARCH,2020-08-28,2020-12-21,FALL 2020,28590,4560,01,ARCH-4560,Materials and Enclosures,"In a world of rapid technological change, this course aims to equip future architects with the ability to position, understand, and implement new materials and systems in meaningful ways. The working principles of selected advanced materials and systems are explained and issues of material development, applications, and integration into buildings systems are addressed. Emphasis is also placed on understanding the issues involved when combining and installing new materials or systems into buildings. Students are further introduced to detail development. Sustainability: New materials and systems are explored with the objective of formulating meaningful technological response to critical environmental and societal issues such as resource depletion, environmental degradation, and globalization.","Prerequisites: ARCH 2510 except M.Arch. students, and ARCH 2350.",Fall term annually.,"['ARCH-2510', 'ARCH-2350']",[]
MATERIALS SYSTEMS & PRODUCTION,LEC,3,T,2:00PM,4:50PM,Draper,,10,2,8,ARCH,2020-08-28,2020-12-21,FALL 2020,29199,4580,80,ARCH-4580,,,,,,
SUSTAINABLE BLDING DES METRICS,LEC,2,M,6:00PM,7:50PM,Holmes,,10,4,6,ARCH,2020-08-28,2020-12-21,FALL 2020,29200,4750,01,ARCH-4750,Sustainable Building Design Metrics,"A review of current and anticipated metrics associated with sustainable building design will be reviewed as well as construction practices in the building industry will be discussed. How sustainable design practices can mitigate the climate change in a positive way will be reviewed. An understanding of energy terminology is useful for this course. Lectures, discussions, field trips, and assigned reading will be utilized to explore the subject matter.",ARCH 4730 Sustainable Building Design Strategies.,Fall term annually.,['ARCH-4730'],['ARCH-4730']
ARCHITECTURAL DESIGN STUDIO 5,LEC,5,MWR,2:00PM,5:50PM,Virgil,,70,10,60,ARCH,2020-08-28,2020-12-21,FALL 2020,28302,4770,01,ARCH-4770,Architectural Design Studio 5,"This is an upper division architectural design studio that explores topics of contemporary interest to the discipline. Students apply for this studio based on their personal interest and professional objectives. Three such studios Architectural Design Studio 5, Architectural Design Studio 6, and Architectural Design Studio 7, are required for the degree. This course is offered in the fall and spring semesters and is required of all architecture undergraduates in the B.Arch. program.",Prerequisite: ARCH 2830 Architectural Design Studio 4.,Fall and spring terms annually.,['ARCH-2830'],[]
ARCHITECTURAL DESIGN STUDIO 5,LEC,5,MWR,2:00PM,5:50PM,Oksiuta,,17,0,17,ARCH,2020-08-28,2020-12-21,FALL 2020,28301,4770,02,ARCH-4770,Architectural Design Studio 5,"This is an upper division architectural design studio that explores topics of contemporary interest to the discipline. Students apply for this studio based on their personal interest and professional objectives. Three such studios Architectural Design Studio 5, Architectural Design Studio 6, and Architectural Design Studio 7, are required for the degree. This course is offered in the fall and spring semesters and is required of all architecture undergraduates in the B.Arch. program.",Prerequisite: ARCH 2830 Architectural Design Studio 4.,Fall and spring terms annually.,['ARCH-2830'],[]
ARCHITECTURAL DESIGN STUDIO 5,LEC,5,MWR,2:00PM,5:50PM,Oatman,,17,3,14,ARCH,2020-08-28,2020-12-21,FALL 2020,28639,4770,04,ARCH-4770,Architectural Design Studio 5,"This is an upper division architectural design studio that explores topics of contemporary interest to the discipline. Students apply for this studio based on their personal interest and professional objectives. Three such studios Architectural Design Studio 5, Architectural Design Studio 6, and Architectural Design Studio 7, are required for the degree. This course is offered in the fall and spring semesters and is required of all architecture undergraduates in the B.Arch. program.",Prerequisite: ARCH 2830 Architectural Design Studio 4.,Fall and spring terms annually.,['ARCH-2830'],[]
ARCHITECTURAL DESIGN STUDIO 5,LEC,5,MWR,2:00PM,5:50PM,Vetcher,,17,1,16,ARCH,2020-08-28,2020-12-21,FALL 2020,28640,4770,05,ARCH-4770,Architectural Design Studio 5,"This is an upper division architectural design studio that explores topics of contemporary interest to the discipline. Students apply for this studio based on their personal interest and professional objectives. Three such studios Architectural Design Studio 5, Architectural Design Studio 6, and Architectural Design Studio 7, are required for the degree. This course is offered in the fall and spring semesters and is required of all architecture undergraduates in the B.Arch. program.",Prerequisite: ARCH 2830 Architectural Design Studio 4.,Fall and spring terms annually.,['ARCH-2830'],[]
ARCHITECTURAL DESIGN STUDIO 5,LEC,5,,,,Bell,,12,3,9,ARCH,2020-08-28,2020-12-21,FALL 2020,28837,4770,50,ARCH-4770,Architectural Design Studio 5,"This is an upper division architectural design studio that explores topics of contemporary interest to the discipline. Students apply for this studio based on their personal interest and professional objectives. Three such studios Architectural Design Studio 5, Architectural Design Studio 6, and Architectural Design Studio 7, are required for the degree. This course is offered in the fall and spring semesters and is required of all architecture undergraduates in the B.Arch. program.",Prerequisite: ARCH 2830 Architectural Design Studio 4.,Fall and spring terms annually.,['ARCH-2830'],[]
ARCHITECTURAL DESIGN STUDIO 5,LEC,5,MWR,2:00PM,5:50PM,Rosenberg,,10,0,10,ARCH,2020-08-28,2020-12-21,FALL 2020,29201,4770,80,ARCH-4770,Architectural Design Studio 5,"This is an upper division architectural design studio that explores topics of contemporary interest to the discipline. Students apply for this studio based on their personal interest and professional objectives. Three such studios Architectural Design Studio 5, Architectural Design Studio 6, and Architectural Design Studio 7, are required for the degree. This course is offered in the fall and spring semesters and is required of all architecture undergraduates in the B.Arch. program.",Prerequisite: ARCH 2830 Architectural Design Studio 4.,Fall and spring terms annually.,['ARCH-2830'],[]
